7703;Beatriz Goncalves Pereira;7.74
19249;Beatriz Alves Sousa;9.86
24229;Carlos Barros Cardoso;3.41
13124;Samuel Azevedo Dias;9.19
26652;Matheus Silva Santos;1.53
17206;Julia Castro Carvalho;2.05
29915;Beatriz Cavalcanti Cardoso;2.97
13960;Vinícius Barros Barros;3.31
14336;Vinícius Lima Pereira;4.01
4605;Emily Martins Dias;5.86
16452;José Ribeiro Ferreira;7.00
15826;Diogo Goncalves Carvalho;7.87
23077;Diego Pereira Silva;1.20
5314;André Carvalho Costa;9.00
4564;Ana Fernandes Correia;5.58
29951;Clara Castro Alves;3.86
6326;Danilo Gomes Goncalves;3.35
2108;Matilde Silva Azevedo;5.83
8304;Rebeca Costa Sousa;9.42
5020;Pedro Fernandes Cavalcanti;6.90
11186;Luiza Sousa Rocha;7.72
21962;Ana Dias Cavalcanti;6.54
29909;Nicolash Dias Santos;8.21
18131;Nicole Azevedo Ferreira;6.74
21479;Isabela Azevedo Silva;4.84
4357;Ana Cunha Ribeiro;7.89
13059;Sofia Carvalho Barbosa;7.83
7054;Leonardo Martins Sousa;0.63
21302;Giovana Rocha Ferreira;3.68
22382;Gabrielle Sousa Gomes;0.58
10402;Guilherme Rodrigues Souza;1.31
13853;Maria Gomes Melo;3.68
28703;Nicolash Almeida Pereira;5.45
20299;Joao Martins Almeida;3.84
9235;Bianca Goncalves Barbosa;9.62
2004;Anna Carvalho Araujo;1.58
11007;Sarah Cunha Barbosa;9.99
11317;Vitória Rocha Pinto;0.40
3386;Alice Carvalho Pinto;9.48
28434;Camila Gomes Barbosa;1.26
15691;Marcos Sousa Ribeiro;4.97
4753;Amanda Melo Martins;9.47
17898;Leila Dias Fernandes;8.38
772;Marisa Araujo Gomes;3.56
21737;Lara Cavalcanti Cardoso;4.67
29434;Gabriel Cardoso Dias;2.18
22538;Matilde Martins Dias;9.13
28531;Guilherme Rodrigues Sousa;7.59
16027;Nicole Araujo Goncalves;3.00
25002;Júlio Azevedo Cunha;0.15
21945;Giovana Gomes Ribeiro;1.89
26955;Beatriz Castro Correia;4.01
29509;Carla Castro Pinto;0.32
16976;Gustavo Rocha Dias;5.22
8813;Isabella Ribeiro Pereira;5.49
23590;Brenda Fernandes Souza;4.96
1630;Victor Ferreira Souza;1.76
13822;Caio Martins Pinto;4.82
26813;Livia Castro Araujo;1.50
24849;Estevan Rocha Pinto;3.77
13378;Kauê Oliveira Barbosa;2.31
10979;Gabrielle Carvalho Costa;2.12
17815;Yasmin Ferreira Melo;7.64
73;Isabelle Silva Santos;9.71
27396;Isabela Cardoso Ferreira;9.90
303;Marisa Silva Araujo;4.94
29326;Thiago Souza Cardoso;0.23
7409;Luís Martins Pinto;0.80
29432;Vinicius Lima Cardoso;3.56
5266;Vitor Carvalho Rocha;8.37
29612;Camila Araujo Melo;0.80
29962;Daniel Barbosa Dias;7.36
18004;Paulo Oliveira Goncalves;7.17
29691;Martim Souza Ferreira;5.10
18903;Thiago Ribeiro Cunha;4.49
18269;André Souza Barbosa;1.44
26794;Eduarda Lima Silva;0.71
29350;Luís Ribeiro Carvalho;7.77
7616;Luan Castro Santos;8.43
16330;Melissa Pinto Alves;6.79
1456;Eduarda Barros Dias;7.51
23802;Renan Melo Pereira;4.75
5843;Tânia Alves Martins;2.55
4744;Luiz Correia Rocha;0.53
25543;Letícia Lima Ferreira;1.35
22223;Bianca Pereira Costa;6.39
24620;Martim Fernandes Melo;0.73
19489;Giovana Pinto Cunha;9.25
5455;Vinícius Silva Lima;6.74
6589;Leila Ferreira Azevedo;6.48
17880;Leila Costa Correia;4.22
12694;Evelyn Ribeiro Alves;8.24
13126;Tiago Castro Alves;5.01
17463;Luana Ribeiro Oliveira;3.72
22849;Laura Gomes Alves;4.41
8441;Mateus Rocha Ribeiro;4.75
25930;Leonardo Cardoso Costa;4.47
3470;Diego Silva Oliveira;5.23
28271;Caio Dias Barros;9.65
26692;Alex Cunha Azevedo;3.47
8093;Samuel Souza Azevedo;0.60
26487;Murilo Santos Carvalho;7.00
23101;Giovana Santos Ribeiro;0.94
29185;Diogo Castro Pinto;4.20
26147;Maria Martins Barros;3.45
19150;André Pinto Gomes;4.21
13042;Kauan Sousa Azevedo;1.25
18794;Vitória Ferreira Ribeiro;1.54
3627;Marina Lima Barbosa;2.08
8228;Brenda Castro Pinto;5.86
10720;Kauã Almeida Martins;0.41
16716;Renan Cunha Melo;5.76
20117;Vitór Barbosa Melo;4.73
17942;Carlos Alves Almeida;0.54
12068;José Almeida Martins;7.30
6112;Vitoria Ferreira Cunha;7.53
26317;Amanda Alves Cardoso;0.90
24521;Fernanda Araujo Cunha;7.37
14581;Mateus Souza Rodrigues;3.23
19969;Carla Ferreira Sousa;4.99
3671;Joao Oliveira Melo;5.78
2951;Tomás Santos Carvalho;6.22
17067;Murilo Gomes Araujo;5.01
20999;Fábio Costa Barbosa;7.57
8305;Amanda Cardoso Pereira;9.12
22663;Paulo Pinto Carvalho;4.58
20335;Yasmin Fernandes Cardoso;7.03
15556;Giovana Melo Santos;6.26
16979;Rebeca Cardoso Martins;7.55
22772;Erick Pereira Carvalho;7.63
4173;Felipe Ferreira Oliveira;0.78
6433;Livia Martins Alves;2.90
2580;Marina Cavalcanti Ferreira;6.48
7141;Evelyn Lima Fernandes;3.23
10252;Rafaela Souza Martins;0.84
24452;Aline Sousa Carvalho;6.48
28011;Luiza Silva Alves;7.25
15246;Thiago Souza Alves;2.89
6562;Bruno Martins Cavalcanti;9.09
15811;Emilly Lima Melo;3.40
21572;Caio Pinto Cardoso;1.02
5371;Larissa Oliveira Araujo;3.42
23682;Aline Dias Cavalcanti;8.41
3613;Luís Gomes Sousa;2.99
24847;Davi Alves Rocha;3.08
10868;Daniel Silva Dias;8.56
11194;Erick Souza Silva;9.88
19255;Otávio Souza Barros;7.53
19899;Yasmin Barbosa Rodrigues;1.78
28410;Ana Gomes Gomes;0.16
24498;Mateus Santos Costa;3.56
4311;Carlos Ribeiro Cavalcanti;8.82
440;Nicole Dias Oliveira;0.30
14370;Murilo Alves Correia;1.49
11925;Rebeca Cunha Silva;1.78
15125;Felipe Souza Oliveira;4.04
6918;Evelyn Correia Ferreira;1.56
804;Estevan Pinto Fernandes;5.34
16984;Melissa Barbosa Barros;6.22
24293;Lavinia Silva Ferreira;3.63
220;Vinícius Araujo Gomes;5.28
21827;Diogo Melo Cavalcanti;7.56
28599;Beatriz Souza Pereira;0.58
23759;Livia Silva Rocha;8.82
11044;Fernanda Souza Cunha;0.91
23388;André Castro Melo;2.62
2919;Vinícius Ferreira Cunha;1.93
28858;Emily Melo Gomes;6.83
24009;Clara Araujo Pereira;4.87
8385;Marcos Ferreira Correia;7.79
20069;Evelyn Fernandes Barros;8.02
7152;Sofia Cavalcanti Pinto;1.61
23883;Leonor Gomes Fernandes;5.87
11912;Alex Cardoso Costa;7.97
16930;Julian Azevedo Fernandes;7.72
26276;Vitoria Gomes Rodrigues;8.39
20868;Luan Costa Rocha;6.81
18804;Enzo Goncalves Pereira;7.55
8065;Alice Alves Barros;5.88
25856;Alice Melo Silva;6.85
7821;Diogo Gomes Pinto;2.73
20933;Aline Gomes Dias;4.39
8932;Rebeca Sousa Oliveira;6.84
14733;Laura Carvalho Ferreira;2.70
8567;Matilde Gomes Rodrigues;1.62
19480;Tomás Santos Barbosa;7.36
14199;Amanda Oliveira Souza;6.96
17616;Alex Ferreira Azevedo;2.69
26983;Danilo Dias Araujo;9.78
13060;Larissa Santos Cavalcanti;1.17
6032;Renan Goncalves Cavalcanti;6.37
5386;Clara Pinto Alves;2.78
11901;Isabelle Souza Ferreira;2.74
27805;Marcos Cunha Santos;5.26
